TIC ID,Sector,class,confidence
164910960,37,Delta Scuti,0.98333806
425202628,33,Delta Scuti,0.98332983
18997890,34,Delta Scuti,0.98331708
442898959,32,Delta Scuti,0.98330855
394562880,39,Delta Scuti,0.98329896
309623153,28,Delta Scuti,0.98329365
385350679,46,Delta Scuti,0.98324931
376977674,53,Delta Scuti,0.98319614
8161150,38,Delta Scuti,0.98310685
269026204,55,Delta Scuti,0.98306203
158632599,54,Delta Scuti,0.98303831
310000381,53,Delta Scuti,0.98302692
267683996,35,Delta Scuti,0.98301768
360647145,36,Delta Scuti,0.98301411
376977674,55,Delta Scuti,0.98298615
193620391,41,Delta Scuti,0.98298126
456470891,55,Delta Scuti,0.9829706
25000323,30,Delta Scuti,0.98291135
418295789,38,Delta Scuti,0.982907
150339088,34,Delta Scuti,0.98290205
259915271,39,Delta Scuti,0.98288733
184255523,54,Delta Scuti,0.98288214
356528601,37,Delta Scuti,0.98287016
77237929,35,Delta Scuti,0.98285425
418608928,55,Delta Scuti,0.98282975
309559245,37,Delta Scuti,0.98277217
90475275,54,Delta Scuti,0.98271745
141340650,38,Delta Scuti,0.9827162
29106885,43,Delta Scuti,0.9827072
269065746,35,Delta Scuti,0.982693434
80986474,35,Delta Scuti,0.98265165
142066421,34,Delta Scuti,0.98261893
128022104,44,Delta Scuti,0.98260272
385656544,34,Delta Scuti,0.98257118
67127214,41,Delta Scuti,0.98254794
142082235,37,Delta Scuti,0.98254019
93334213,32,Delta Scuti,0.982528687
144821521,37,Delta Scuti,0.98249257
268330767,40,Delta Scuti,0.98246861
142213341,47,Delta Scuti,0.982463
142528352,33,Delta Scuti,0.98242193
184427844,54,Delta Scuti,0.9824025
91481087,42,Delta Scuti,0.98240095
447954621,36,Delta Scuti,0.98233002
151284241,33,Delta Scuti,0.98231918
231864125,28,Delta Scuti,0.98229444
368497799,38,Delta Scuti,0.98228872
19028740,46,Delta Scuti,0.98228776
41211703,41,Delta Scuti,0.98226893
117418088,45,Delta Scuti,0.98215437
78772886,35,Delta Scuti,0.98211229
435916016,43,Delta Scuti,0.98208702
184255523,41,Delta Scuti,0.98193616
393880762,39,Delta Scuti,0.98192638
175381058,35,Delta Scuti,0.98190504
201175605,28,Delta Scuti,0.98176783
309931768,37,Delta Scuti,0.98176759
284588437,33,Delta Scuti,0.98173779
176004490,51,Delta Scuti,0.9815653
410554732,38,Delta Scuti,0.981556
140872839,34,Delta Scuti,0.981497884
301624130,55,Delta Scuti,0.98146993
385212613,35,Delta Scuti,0.98144263
66510457,33,Delta Scuti,0.98144192
394566745,38,Delta Scuti,0.981425405
386154220,33,Delta Scuti,0.981400728
60132232,44,Delta Scuti,0.98135251
29106885,44,Delta Scuti,0.981215119
59608160,35,Delta Scuti,0.98121107
21967369,54,Delta Scuti,0.9811964
394566745,39,Delta Scuti,0.98119444
356528601,38,Delta Scuti,0.98118627
394134559,28,Delta Scuti,0.98110676
167571515,33,Delta Scuti,0.98110241
418295789,39,Delta Scuti,0.98109448
269026204,41,Delta Scuti,0.98108864
76669312,35,Delta Scuti,0.98108023
155443782,34,Delta Scuti,0.98107386
255686138,32,Delta Scuti,0.98106349
258978550,44,Delta Scuti,0.98100257
443900046,46,Delta Scuti,0.98099339
447438857,37,Delta Scuti,0.980973661
296213123,53,Delta Scuti,0.98094648
77890959,44,Delta Scuti,0.9809311
257642604,39,Delta Scuti,0.98092276
